Flight;Time;Length;Airline;AirportFrom;AirportTo;DayOfWeek;Class
4550;13620;930;UA;SFO;LAS;6;0
77710;5950;810;OO;SLC;SGU;1;0
8450;4200;1650;WN;PHL;MCO;2;0
48650;4600;850;OO;BZN;SLC;7;0
40560;3950;800;9E;GRB;MSP;5;0
33340;6050;1350;MQ;DFW;GJT;2;0
27220;300;2280;DL;PHX;DTW;1;0
68500;5260;790;OO;MBS;ORD;7;0
30420;8750;450;MQ;SBA;LAX;5;0
1840;4100;850;UA;LAX;SFO;6;0
54230;6600;770;EV;ATL;VPS;2;0
26020;4200;720;YV;SAV;CLT;7;0
27560;6850;1550;MQ;TYS;DFW;4;0
40640;8150;800;MQ;ORD;CLE;5;0
45810;3600;1100;MQ;CLT;LGA;1;0
46360;11650;640;OO;MSP;FAR;5;0
63530;12910;750;OO;DEN;RKS;5;0
9360;8550;800;WN;BWI;BOS;7;0
64250;9460;1310;OO;SAT;DEN;2;0
70;10180;920;B6;BUF;JFK;6;0
12370;8900;1100;DL;RIC;ATL;2;0
6670;12670;2170;CO;SEA;ANC;1;0
2880;5300;650;WN;BWI;BUF;3;0
5820;4250;1440;AS;PDX;SNA;4;0
5360;12500;1530;AS;SEA;ONT;2;0
3290;11540;1190;UA;DEN;PHX;3;0
6740;9800;800;WN;LAS;RNO;1;0
36470;10500;750;MQ;MIA;JAX;6;0
7800;4500;1900;WN;LAS;STL;3;0
10790;7050;1230;US;DCA;JAX;5;0
70850;5030;880;EV;IAD;GSP;3;0
24390;6600;1100;DL;DCA;ATL;2;0
30040;4450;1600;MQ;DEN;LAX;4;0
23640;8450;3250;DL;HNL;LAX;2;0
42430;3450;1470;9E;BDL;CVG;7;0
42540;8000;900;9E;MOT;MSP;6;0
7400;3630;2370;B6;PSE;JFK;2;0
14020;4600;600;WN;FLL;TPA;1;0
13100;10400;850;DL;IND;DTW;5;0
5090;13050;1830;UA;DEN;SEA;1;0
1600;4450;1510;UA;PDX;DEN;1;0
5500;10300;1500;AA;LAS;DFW;7;0
64970;3810;690;OO;CPR;DEN;4;0
66450;8250;790;OH;DTW;LEX;2;0
18270;10300;2250;AA;DFW;SMF;1;0
71150;10280;870;EV;IAD;CAE;6;0
6550;5400;2500;AA;JFK;STT;6;0
24580;4900;1630;DL;PBI;LGA;5;0
10420;5250;2470;DL;SNA;ATL;1;0
2660;12700;1400;F9;DEN;SNA;7;0
66860;3700;730;OH;STL;CVG;3;0
18220;8750;1300;AA;DFW;DAY;7;0
39810;8000;1300;9E;CVG;MSP;2;0
5900;6200;600;WN;LAX;LAS;2;0
9650;10260;2070;UA;IAD;IAH;6;0
18310;3600;1080;DL;PDX;SLC;6;0
25300;6000;1620;DL;MSP;BOS;3;0
14240;4250;850;WN;SFO;SAN;3;0
4900;3300;1820;CO;SLC;IAH;1;0
4950;3950;950;WN;LAS;SFO;1;0
29240;3750;1480;YV;AUS;PHX;6;0
12850;10760;1100;DL;ATL;PBI;1;0
12350;10500;750;WN;LAX;OAK;3;0
3840;5400;600;WN;STL;MDW;4;0
6550;5000;1950;CO;PIT;IAH;4;0
4610;7950;2120;B6;BOS;RSW;5;0
12230;5150;1590;US;DCA;PBI;4;0
45280;5150;1260;OO;SLC;OAK;5;0
73050;3850;670;EV;HSV;MEM;3;0
3320;4250;500;HA;HNL;ITO;1;0
50610;9070;1090;EV;SGF;ATL;5;0
37760;4500;1450;MQ;MSY;ORD;4;0
68690;12240;530;OO;DEN;GJT;5;0
7960;3730;690;UA;RDU;IAD;2;0
14800;4350;2690;DL;SFO;ATL;4;0
10470;10350;920;US;DCA;CLT;4;0
18260;12250;700;AA;DFW;ICT;3;0
9350;9800;3590;UA;LAX;HNL;4;0
63520;11510;1640;OH;MEM;EWR;7;0
23240;5100;1170;DL;ATL;BWI;2;0
24590;4550;1200;WN;DEN;LAS;5;0
20410;5000;1650;AA;DCA;MIA;6;0
2770;10500;420;HA;KOA;HNL;4;0
27630;7350;810;YV;ELP;PHX;2;0
22020;10550;1750;AA;SJU;MIA;2;0
63810;12650;790;OH;JFK;BOS;7;0
23470;5550;1770;XE;MSP;IAH;7;0
28960;9400;740;XE;JAN;IAH;6;0
16300;8050;1390;CO;IAH;PBI;3;0
14960;600;1630;CO;LAS;IAH;2;0
15610;4950;1500;CO;PHX;IAH;4;0
20460;3750;620;XE;AEX;IAH;5;0
11810;8800;1150;WN;ELP;LAS;1;0
4750;4450;1750;AA;EWR;ORD;5;0
45170;11100;1100;MQ;LGA;CRW;7;0
1020;9860;1470;FL;ATL;DFW;6;0
42230;3600;1250;MQ;ROC;ORD;5;0
7890;11050;980;US;PHL;RDU;5;0
8100;9900;920;FL;BOS;BWI;5;0
11810;3600;1100;DL;RSW;ATL;6;0
67180;4200;1050;OH;MDT;CVG;4;0
71380;10250;910;EV;IAD;MHT;5;0
63300;4300;510;OO;GUC;DEN;6;0
62640;7650;620;OO;SFO;FAT;3;0
11720;5650;2050;AA;PHX;ORD;5;0
31100;4750;780;OO;MKE;CAK;6;0
70790;8650;830;EV;CAE;IAD;5;0
1800;13950;2700;B6;PHX;JFK;7;0
5860;10720;1050;FL;GRR;BWI;2;0
10;5950;5490;UA;ORD;HNL;3;0
6380;8900;740;US;PHX;ONT;4;0
72570;10600;770;YV;DTW;ORD;2;0
63470;7670;350;OO;DEN;COS;7;0
6670;6100;1460;FL;ATL;HPN;3;0
7550;8600;1050;WN;STL;DAL;3;0
46530;10530;1450;OO;FAR;SLC;4;0
33680;5100;800;MQ;LIT;DFW;2;0
25450;4900;1300;AA;OMA;DFW;7;0
53120;5350;620;EV;ATL;TYS;1;0
16020;5700;750;AA;DFW;ICT;7;0
8680;4200;1560;FL;MSP;ATL;3;0
15920;3900;1150;US;ATL;PHL;3;0
45320;6600;950;MQ;BNA;DCA;3;0
29750;9750;500;MQ;DFW;ABI;3;0
3120;10350;820;UA;IAD;BDL;4;0
10390;7850;1050;AA;ATL;MIA;5;0
55770;6580;860;EV;EVV;ATL;2;0
68220;8450;690;OO;RDD;SFO;5;0
30180;5730;1050;XE;DTW;EWR;3;0
20040;9400;1850;AA;ORD;MIA;4;0
9880;12050;500;WN;OKC;DAL;5;0
28110;7750;760;XE;IAH;MOB;4;0
10370;7550;470;YV;ITO;HNL;4;0
25780;3750;1200;DL;SAN;SLC;7;0
47670;6050;1100;OO;MSP;SDF;7;0
3430;10300;1750;AA;LGA;ORD;3;0
29720;10500;800;WN;SJC;SAN;6;0
10270;8350;1450;US;MCO;PHL;4;0
15870;4150;650;WN;LBB;DAL;4;0
50320;8550;510;EV;CSG;ATL;4;0
24510;8750;1490;XE;STL;EWR;5;0
51850;5950;670;EV;ATL;SAV;3;0
19210;3600;1850;AA;EWR;MIA;1;0
68370;9410;1540;OO;SEA;LAX;7;0
63090;10900;500;OO;LAX;PSP;5;0
39210;8550;1160;9E;MEM;CLE;4;0
8160;11900;870;US;CLT;MDT;7;0
21320;4600;780;XE;IAH;LIT;4;0
20460;3750;620;XE;AEX;IAH;4;0
19380;4700;750;WN;OAK;ONT;5;0
210;9490;2260;UA;PIT;DEN;7;0
7830;4750;800;FL;PHF;LGA;2;0
9310;11300;1950;WN;DEN;RDU;7;0
4000;9340;1540;UA;SEA;DEN;6;0
10890;13050;1040;DL;SLC;SMF;4;0
73230;5900;680;EV;ATL;SAV;6;0
16920;9500;1300;WN;PDX;LAS;2;0
12170;10600;2710;DL;DTW;LAS;5;0
37140;8200;1150;9E;DSM;DTW;4;0
17160;8400;1650;AA;DFW;BWI;5;0
11090;9000;820;US;CLT;JAX;4;0
5360;12500;1530;AS;SEA;ONT;7;0
22740;10450;600;AA;DFW;TUL;5;0
8270;9800;800;WN;ABQ;DEN;4;0
52370;10150;1050;EV;DCA;BOS;4;0
12900;13050;1230;DL;ATL;DTW;2;0
69480;4100;630;OO;SMF;ACV;4;0
6840;6000;2150;AA;AUS;JFK;6;0
21930;13100;990;DL;DTW;BNA;5;0
18410;4250;1670;DL;DTW;TPA;4;0
310;14100;3440;US;OGG;PHX;7;0
51360;4200;970;EV;FAY;ATL;4;0
29760;10650;500;MQ;ABI;DFW;4;0
70380;4330;1230;OO;MSO;DEN;7;0
2960;5820;1790;CO;LAS;IAH;4;0
13700;6900;950;WN;MKE;MCI;4;0
19780;9510;950;AA;MFE;DFW;4;0
9860;4200;1450;US;FLL;DCA;3;0
15880;10150;800;AA;DFW;MSY;1;0
33330;10100;550;WN;AUS;DAL;1;0
1710;13350;1020;FL;ATL;RSW;3;0
11520;14100;2990;DL;HNL;SFO;2;0
25210;11650;1370;XE;STL;EWR;1;0
6070;7420;2530;FL;SFO;MKE;3;0
30450;10850;1550;XE;IND;IAH;7;0
19800;3700;1100;DL;GEG;SLC;4;0
770;5400;1080;FL;ATL;FLL;1;0
15500;4200;1880;DL;LAS;MSP;3;0
11770;6050;1320;US;LGA;CLT;4;0
10190;4000;1850;AA;CLT;DFW;3;0
3530;11800;1550;AA;LGA;ORD;2;0
64360;11350;1000;OH;CVG;ORD;7;0
3370;3600;1370;UA;PHL;ORD;3;0
18220;6950;1220;US;CLT;BOS;2;0
5920;4600;1150;AA;COS;DFW;5;0
16870;11990;2000;AA;JFK;MIA;6;0
53850;3950;1190;EV;CLT;MEM;7;0
5110;10800;1700;AS;SNA;SEA;2;0
20190;11500;1700;AA;LGA;STL;1;0
65820;8330;830;OO;SFO;PSP;6;0
65690;4800;890;OH;MSN;CVG;4;0
9380;9550;1440;UA;DEN;ORD;1;0
35040;5000;1050;WN;TPA;MSY;3;0
6530;11450;1380;UA;ORD;PVD;2;0
19740;3750;1180;DL;PHF;ATL;2;0
47020;7800;1060;OO;LGB;SLC;6;0
19850;3500;1140;DL;DAY;ATL;5;0
5960;9750;1010;US;RNO;PHX;6;0
39530;5650;1340;9E;MSP;OKC;4;0
59210;5170;940;XE;IAD;TYS;5;0
66980;4770;1450;OO;PDX;DEN;3;0
14570;8000;1210;US;CLT;FLL;7;0
15920;10300;700;WN;MCO;ECP;7;0
45790;9450;1250;MQ;LGA;CLT;3;0
67610;8250;1720;OH;CVG;IAH;4;0
1920;12700;730;US;PHX;SAN;2;0
9140;4730;2940;UA;SFO;IAD;3;0
35860;8600;800;WN;PVD;BWI;5;0
12800;7200;1300;US;RSW;DCA;6;0
23230;3700;1020;XE;ALB;CLE;1;0
2630;8700;1090;FL;MKE;DCA;7;0
560;7170;2380;FL;LAX;ATL;6;0
22460;9420;560;XE;AUS;IAH;7;0
7310;6150;2550;AA;LGA;DFW;4;0
7860;11990;810;FL;LGA;PHF;1;0
27250;8650;1670;DL;MSP;AUS;4;0
17860;8000;1600;AA;TPA;JFK;5;0
12890;11950;1000;B6;BOS;RIC;1;0
39190;8400;1150;MQ;LIT;ORD;4;0
28080;7100;1200;WN;DEN;STL;5;0
19290;4550;900;AA;SFO;LAX;1;0
4670;8840;1210;FL;BWI;ATL;1;0
18840;7200;1510;US;TPA;PHL;7;0
48230;6900;1030;OO;SLC;FAT;6;0
12960;5650;1200;AA;DFW;ATL;1;0
12570;11100;1010;B6;BOS;IAD;4;0
3230;13060;360;HA;HNL;LIH;5;0
67620;4350;1290;OH;OKC;MSP;2;0
47770;10100;1030;OO;SLC;ABQ;1;0
40100;8900;1350;MQ;CLT;ORD;2;0
72490;6660;1090;YV;ORD;CLT;6;0
54960;10200;1040;EV;CHO;ATL;3;0
1120;3650;1390;UA;ONT;DEN;7;0
1040;3940;300;HA;LIH;HNL;3;0
16860;12750;2900;CO;SNA;EWR;2;0
25350;7750;2110;DL;LGA;MSY;3;0
32430;13550;750;MQ;DFW;JAN;7;0
18530;5100;1700;CO;CLE;RSW;2;0
5510;6150;1700;AS;PSP;SEA;4;0
18400;10900;890;US;CLT;PIT;7;0
8720;6800;1460;FL;MSP;ATL;1;0
49670;10400;1070;EV;ATL;BMI;5;0
39460;3750;1180;9E;MSN;MEM;6;0
40110;6250;490;9E;LAN;DTW;5;0
18710;6600;1800;AA;DFW;LAS;4;0
26520;3650;1570;XE;LEX;IAH;6;0
59910;3600;1050;XE;XNA;ORD;1;0
68860;4970;590;OO;GJT;DEN;5;0
15840;8200;3150;DL;SNA;JFK;4;0
3890;6100;500;WN;SAT;HOU;1;0
71040;6200;730;EV;CMH;IAD;2;0
6330;7900;3100;AA;SJU;DFW;1;0
5860;10720;1050;FL;GRR;BWI;7;0
8990;10200;2250;WN;DEN;BDL;4;0
36650;3900;1800;MQ;PIT;MIA;5;0
300;14250;3140;AA;LAX;JFK;5;0
9350;9800;3590;UA;LAX;HNL;2;0
23210;7050;1590;XE;CVG;IAH;3;0
880;8700;3290;UA;SFO;EWR;3;0
26280;7700;540;YV;GSO;CLT;3;0
47770;7950;920;OO;PSC;SLC;2;0
560;5590;760;B6;JFK;BTV;3;0
30720;6450;740;OO;MKE;STL;3;0
18490;8960;1040;DL;CMH;ATL;2;0
63370;6830;580;OO;DEN;GJT;1;0
15150;4900;1370;US;SYR;CLT;4;0
43610;7100;1350;9E;PIT;MEM;2;0
16750;4650;1580;CO;CLE;TPA;4;0
64440;7500;1090;OH;AVL;DTW;4;0
11970;8200;3160;US;PHL;PHX;5;0
6180;8350;750;WN;LAX;OAK;4;0
7230;8700;1000;WN;MHT;BWI;7;0
10020;6000;950;AA;DFW;STL;7;0
33040;11750;500;MQ;GRK;DFW;1;0
66930;7420;1410;OO;MCI;IAD;3;0
26330;12250;720;YV;CLT;SAV;5;0
12470;6800;2650;AA;ORD;LAX;7;0
44650;9600;700;MQ;LGA;BOS;5;0
18570;4850;2250;AA;BWI;SJU;2;0
17810;8800;1450;US;BOS;CLT;2;0
29850;12600;1240;XE;EWR;DTW;1;0
32590;7050;1500;MQ;DFW;FAY;6;0
830;4800;2210;AS;SEA;ANC;4;0
33910;3650;600;MQ;TXK;DFW;7;0
65720;6530;1380;OO;PDX;LAX;3;0
2600;3900;1250;FL;DCA;MKE;5;0
65900;6150;1360;OO;DEN;MEM;1;0
11570;3600;1100;DL;CMH;ATL;6;0
22220;5650;2100;AA;SFO;DFW;3;0
51040;11550;850;EV;ATL;MOB;1;0
25400;3600;1550;DL;DEN;CVG;7;0
15480;8850;1700;AA;DFW;DCA;7;0
46540;5850;1650;MQ;LGA;ATL;5;0
67350;7920;1120;OO;MSO;DEN;3;0
12340;5200;1220;DL;SLC;SNA;6;0
32210;9250;1650;MQ;MKE;DFW;4;0
48440;10250;990;OO;SLC;RAP;6;0
16920;6320;1580;DL;TPA;DTW;5;0
8640;13590;800;UA;LAX;LAS;6;0
45730;6100;1800;MQ;XNA;LGA;3;0
810;5450;3340;UA;LAX;HNL;6;0
12770;7850;1040;US;IND;PHL;7;0
29650;4600;850;MQ;LRD;DFW;4;0
27750;6590;1140;YV;PHX;MRY;4;0
36810;9810;1120;9E;ABE;DTW;3;0
28770;12000;1940;XE;EWR;MSP;7;0
3180;10600;1000;WN;MKE;MCI;3;0
50320;7900;430;EV;ATL;CSG;7;0
73040;7370;1160;YV;IAD;JAX;7;0
47920;5350;880;OO;SLC;RNO;5;0
42920;8900;1100;9E;LWB;JFK;7;0
54870;9100;650;EV;ATL;BNA;4;0
65600;6920;1340;OO;AUS;DEN;1;0
14330;6000;3310;US;CLT;LAX;3;0
11400;3600;650;AA;SAT;DFW;4;0
45320;6600;950;MQ;BNA;DCA;3;0
41860;9210;660;9E;ERI;DTW;5;0
5200;9000;2000;AA;SMF;DFW;3;0
6170;7550;1950;AA;DFW;SAN;6;0
20270;5400;930;US;BOS;DCA;5;0
66700;10710;1510;OO;ORD;DFW;4;0
18900;10200;2300;AA;LAX;ORD;1;0
6730;6650;3670;B6;JFK;LAX;2;0
1530;4050;1150;WN;LAS;DEN;1;0
1800;12200;910;UA;SNA;SFO;1;0
59920;10980;600;XE;GRB;ORD;4;0
53850;3950;1190;EV;CLT;MEM;3;0
11030;5900;650;AA;ORD;STL;2;0
4710;9900;950;US;LAS;SFO;3;0
73710;5650;740;EV;MEM;SHV;3;0
10190;6000;1310;US;CLT;MIA;5;0
71190;3600;760;EV;LGA;IAD;7;0
63420;12470;480;OO;SAN;LAX;4;0
3030;6050;1250;AS;SFO;SEA;5;0
9200;5200;1550;UA;IAH;ORD;1;0
28560;13500;3190;DL;SAN;JFK;5;0
17690;4200;820;DL;ATL;MCO;4;0
21490;3900;580;XE;DAL;IAH;3;0
510;9900;580;AS;ANC;FAI;3;0
65080;6370;2030;OO;SFO;AUS;5;0
42910;7500;840;9E;TYS;MEM;2;0
8150;4200;930;F9;DEN;MCI;5;0
22850;9270;1620;DL;BDL;ATL;5;0
14300;11900;1010;FL;BOS;PHF;2;0
63910;10840;930;OO;TUS;LAX;7;0
11700;8950;870;US;CLT;PIT;7;0
45830;7000;890;OO;DEN;SLC;3;0
13080;4000;1420;DL;AUS;ATL;2;0
59500;3700;650;XE;ROA;IAD;4;0
2240;5350;2500;FL;MKE;LAS;3;0
14770;6250;550;AA;DFW;AUS;7;0
28020;4800;1850;DL;MIA;DTW;6;0
14370;3850;1420;CO;TPA;IAH;4;0
46630;6600;830;OO;BIS;MSP;5;0
31630;9200;800;MQ;LAX;SJC;1;0
14970;6950;1710;DL;MSP;ABQ;4;0
42600;5300;1390;9E;PVD;DTW;2;0
29210;4000;1580;DL;PIT;MSP;2;0
65030;9500;1050;OH;JFK;IAD;7;0
1540;11300;700;WN;BWI;RDU;7;0
43200;10250;1350;MQ;OKC;ORD;5;0
66610;10020;330;OO;MOD;SFO;5;0
3790;5100;1480;UA;IAD;MCO;2;0
21830;10200;760;US;LGA;DCA;7;0
4760;8000;2500;CO;SJU;EWR;5;0
59430;12050;490;XE;ORD;PIA;5;0
240;7550;3000;HA;OGG;OAK;2;0
7320;3700;2420;UA;SEA;ORD;3;0
15780;8650;950;AA;DFW;STL;2;0
730;4550;1070;AS;JNU;ANC;6;0
9380;10400;800;WN;LAX;SMF;2;0
9580;10850;1490;FL;FLL;BWI;2;0
34780;6050;800;MQ;LIT;DFW;5;0
2870;5200;3840;CO;EWR;SNA;5;0
5590;5870;2250;DL;ATL;SJU;6;0
90;13050;1460;UA;DEN;SAN;1;0
7830;4840;800;FL;PHF;LGA;5;0
340;11800;850;US;PHX;LAX;2;0
17140;13800;2400;DL;ONT;ATL;5;0
5800;10250;850;F9;SLC;DEN;5;0
66700;4130;650;OO;SBP;SFO;2;0
1950;14350;570;AS;ANC;FAI;3;0
6130;12400;1540;AS;LAS;SEA;1;0
9760;13500;850;US;CLT;IAD;6;0
730;5290;3160;UA;SFO;HNL;7;0
64310;5770;480;OO;SBA;LAX;5;0
8920;4200;1100;WN;BHM;BWI;2;0
46090;10060;1250;OO;SLC;OAK;2;0
610;8130;470;AS;CDV;ANC;2;0
22230;850;2700;DL;ANC;SLC;2;0
51000;9760;720;EV;ATL;LEX;5;0
21440;11350;670;XE;ROC;CLE;2;0
15990;13190;1070;DL;ATL;PIT;2;0
2040;5560;3140;B6;LGB;JFK;5;0
2190;8810;3680;UA;IAD;SFO;5;0
6110;9500;1650;AS;LAS;SEA;6;0
14920;4750;1840;DL;PHX;MSP;1;0
8790;4250;700;AA;TUL;DFW;4;0
48440;10250;990;OO;SLC;RAP;4;0
59250;7860;960;XE;FSD;ORD;1;0
6200;10550;1280;AS;PDX;LAS;4;0
19290;4550;900;AA;SFO;LAX;4;0
53170;6930;760;EV;CAE;ATL;7;0
7790;11250;1200;UA;DEN;LAS;6;0
9020;6850;800;WN;ELP;PHX;5;0
72420;13150;410;YV;ORD;SBN;7;0
36510;12550;1300;MQ;MIA;TYS;2;0
12580;6450;780;DL;ATL;JAX;7;0
16840;10600;1250;AA;BNA;LGA;3;0
1860;9390;3200;UA;SFO;PHL;4;0
8940;5250;850;WN;MSY;TPA;7;0
12820;9190;1660;FL;FNT;TPA;7;0
2310;7450;3380;UA;IAD;SAN;2;0
14940;6600;1550;AA;DFW;FLL;7;0
33040;11750;500;MQ;GRK;DFW;1;0
52620;8350;930;EV;DCA;BOS;7;0
63100;11400;1100;OH;CVG;PHL;2;0
59210;5170;940;XE;IAD;TYS;4;0
270;7620;770;B6;BTV;JFK;3;0
42210;11150;750;MQ;GRB;ORD;7;0
6180;6900;1370;F9;DEN;IND;7;0
17180;5550;1380;CO;MCO;CLE;7;0
15940;7950;1300;WN;RNO;DEN;3;0
28260;10700;1800;MQ;CAE;DFW;5;0
2560;7550;810;US;LAX;PHX;3;0
11650;7500;1150;WN;OAK;PHX;4;0
28470;12000;1590;DL;LGA;ATL;4;0
25380;6200;1100;DL;ATL;DCA;7;0
310;14100;3440;US;OGG;PHX;7;0
19730;11650;1950;AA;MIA;DFW;4;0
43370;11700;1160;9E;ATL;SGF;4;0
35030;7750;1550;WN;BDL;MDW;7;0
29830;3700;1050;XE;ALB;CLE;4;0
30770;12000;1600;XE;EWR;ATL;5;0
2380;13300;2770;UA;SAN;IAD;4;0
22560;7020;1090;XE;AVL;EWR;5;0
37470;8200;1150;9E;MEM;AUS;7;0
5660;10980;1240;UA;ORD;ATL;3;0
46020;10200;950;OO;FCA;SLC;1;0
4660;9430;1770;B6;RSW;BOS;5;0
73350;8710;810;EV;GNV;ATL;5;0
64680;10320;980;OO;OKC;DEN;2;0
25300;3900;960;DL;RAP;MSP;7;0
4300;4300;900;AA;DFW;STL;4;0
26810;4190;860;YV;CVG;CLT;2;0
6730;6000;1570;UA;LGA;ORD;2;0
5550;12350;330;HA;OGG;HNL;5;0
32350;7450;400;MQ;DFW;ACT;5;0
12170;8850;1480;FL;MDW;SRQ;4;0
70780;11690;840;EV;LGA;IAD;4;0
4610;7950;2120;B6;BOS;RSW;1;0
21470;7800;1600;DL;LGA;ATL;1;0
21440;10200;840;XE;EWR;ROC;5;0
21110;8900;1480;DL;ATL;DFW;6;0
64500;4550;1070;OH;MCI;CVG;7;0
48710;4000;1210;OO;BIS;SLC;5;0
1820;8000;3250;DL;SEA;JFK;4;0
25390;6000;1100;DL;DCA;ATL;5;0
39170;6200;600;9E;FWA;DTW;5;0
66920;4800;2230;OH;IAH;JFK;4;0
11760;7150;1000;WN;MHT;PHL;6;0
25990;4200;2120;DL;MSP;PHX;3;0
15380;12200;990;DL;ATL;DCA;5;0
15380;8100;1800;AA;BUR;DFW;4;0
63420;12470;480;OO;SAN;LAX;2;0
28320;9450;1250;MQ;PNS;DFW;4;0
5190;4050;1000;DL;RAP;MSP;3;0
4580;12000;970;US;SLC;PHX;1;0
42380;3850;1040;9E;RST;DTW;1;0
12370;4200;750;WN;MDW;CLE;2;0
52600;5970;1000;EV;ATL;CHO;3;0
16680;8400;600;AA;DFW;TUL;6;0
46480;10930;970;OO;GEG;SLC;2;0
63720;8840;460;OO;SBA;LAX;4;0
11650;9050;2350;AA;PHL;DFW;7;0
67680;11620;880;OO;DEN;JAC;7;0
65470;3850;1510;OO;IAH;ORD;1;0
19540;4850;800;WN;JAN;HOU;6;0
28970;9500;800;WN;ELP;SAT;6;0
11410;7550;1300;WN;LIT;BWI;1;0
73050;5750;710;EV;MEM;STL;3;0
3780;6650;1250;AA;ORD;LGA;4;0
37980;11700;1900;MQ;ORD;ABQ;7;0
9390;11350;1470;UA;DEN;SAN;5;0
6600;4200;2300;AS;SEA;DFW;6;0
5330;4300;760;FL;MEM;ATL;5;0
17680;4900;800;WN;HOU;TUL;6;0
5310;9600;1350;AA;DCA;STL;5;0
45230;9900;800;MQ;BOS;LGA;5;0
3410;5770;490;HA;ITO;HNL;2;0
62950;11300;2300;OO;IAD;COS;5;0
63160;10350;1020;OH;IND;RDU;2;0
3050;7450;1650;FL;DEN;ATL;7;0
68970;4200;2000;OO;BOI;ORD;2;0
28940;7760;590;XE;CRP;IAH;1;0
160;7900;3250;HA;HNL;SAN;2;0
46500;3600;1500;MQ;LGA;ATL;3;0
3010;9850;2780;US;CLT;PHX;1;0
3160;8800;1230;AS;SEA;SFO;3;0
31140;10790;980;XE;LGA;CLE;5;0
5520;5400;1590;AS;SEA;PSP;3;0
21590;9100;1100;XE;MEM;IAH;1;0
40;7450;3350;AA;LAX;JFK;7;0
42700;8150;560;9E;CVG;FWA;4;0
55490;10950;720;EV;AVL;ATL;2;0
62690;10340;1220;OO;SEA;SFO;3;0
880;4650;2690;US;ATL;PHX;2;0
16360;7850;1050;AA;DFW;OMA;5;0
59570;11010;1050;XE;HSV;IAD;4;0
15170;8200;700;AA;SAT;DFW;1;0
6390;11700;1770;CO;MIA;EWR;7;0
70490;3600;480;OO;SEA;PDX;4;0
16970;7300;1450;US;IAH;CLT;3;0
44370;4800;1200;MQ;LGA;CMH;1;0
5550;12350;330;HA;OGG;HNL;4;0
26590;10100;1800;XE;CLE;DFW;5;0
16300;7250;1830;US;DEN;CLT;4;0
350;4800;4000;HA;PHX;HNL;4;0
15890;7450;1050;DL;DTW;BNA;2;0
54950;13050;1050;EV;ATL;BMI;1;0
6530;7750;2030;UA;PHX;ORD;5;0
6000;5700;810;B6;JFK;PWM;7;0
1210;9240;1660;UA;ORD;IAH;2;0
64900;9770;1090;OO;DEN;CID;1;0
21490;3900;590;XE;DAL;IAH;6;0
350;4800;4000;HA;PHX;HNL;2;0
37640;7300;1200;MQ;ORD;PHL;6;0
21700;5650;1000;WN;OKC;DEN;6;0
20200;7430;2210;DL;LAX;MEM;3;0
64540;4550;950;OH;CVG;DCA;7;0
14270;11100;1750;AA;TPA;DFW;1;0
59190;4910;850;XE;IAD;CAE;1;0
20170;13120;2130;DL;ATL;DEN;6;0
